customer_sk,customer_id,first_name,last_name,email,phone_number,gender,birth_date_key,join_date_key,address_id,street,city,state,country,zip_code,address_effective_date_key,address_termination_date_key,is_active,entry_date_key
29,29,Jenna,Smith,davenportmelissa@hotmail.com,001-765-789-3793x919,F,19700910,20241012,29,469 Blevins Club,North Kimberly,Oklahoma,UAE,17712,2025-09-24,,1,20250924
30,30,Erika,Hernandez,andersondeborah@hotmail.com,773.813.3098,F,19660408,20230214,30,5918 Young Alley Suite 548,Lake John,Alabama,UAE,33647,2025-09-24,,1,20250924
31,31,Randy,Smith,rebecca95@hotmail.com,815.750.1543,M,19960417,20250107,31,587 Moore Ridge Apt. 580,South David,Kentucky,China,64631,2025-09-24,,1,20250924
32,32,Mrs.,Marquez,asellers@gmail.com,(688)545-5363x7766,F,19740331,20250412,32,92840 Herrera Fork Suite 731,Esparzaburgh,Colorado,Australia,32649,2025-09-24,,1,20250924
33,33,Tammy,Salinas,vrobinson@hotmail.com,+1-533-151-3135x61170,M,19601109,20241008,33,399 Bell Dale,Kristinfurt,Arizona,United States,6034,2025-09-24,,1,20250924
34,34,Kenneth,Jr.,davidwalters@yahoo.com,+1-740-874-7407x39729,M,19920622,20240629,34,34567 April Pines,Melaniehaven,Oklahoma,Canada,41877,2025-09-24,,1,20250924
35,35,Kenneth,Allison,adam61@hotmail.com,6491445337,M,19960807,20240312,35,36969 Richard Islands Apt. 629,Lawsonton,Indiana,Germany,31118,2025-09-24,,1,20250924
36,36,Donald,Everett,harrischarles@yahoo.com,090-719-5714,M,19730304,20230220,36,99660 Rivas Glen,Port Samantha,Ohio,UAE,85957,2025-09-24,,1,20250924
37,37,Raymond,Daniels,tiffanypearson@gmail.com,+1-907-046-4450x300,M,19750529,20250725,37,2928 Freeman Inlet Suite 607,Connerport,Tennessee,China,98237,2025-09-24,,1,20250924
38,38,Sara,Mendoza,greenjesus@gmail.com,(265)493-0539,M,19810728,20230707,38,3595 Tammy Corner,Eatonmouth,New Hampshire,United Kingdom,47098,2025-09-24,,1,20250924
39,39,Kevin,Phillips,moodycathy@gmail.com,656.402.5426,F,19520624,20221120,39,3332 Jonathan Key Suite 297,New Rebeccaburgh,Oregon,Saudi Arabia,6638,2025-09-24,,1,20250924
40,40,Kelly,Harris,gdiaz@gmail.com,001-895-638-3676x65703,M,19550304,20220921,40,670 Bryant Drive Apt. 290,Lake Davidbury,Maryland,India,88354,2025-09-24,,1,20250924
41,41,Tasha,Sheppard,michaelwatson@yahoo.com,9353521517,M,19630109,20250807,41,425 Gordon Center Suite 927,Williamsshire,Hawaii,Egypt,58405,2025-09-24,,1,20250924
42,42,Nathaniel,Bowman,daniel16@hotmail.com,232.854.1422,M,19770723,20230909,42,082 Mcclure Pike Apt. 011,West Derrickmouth,Oregon,Germany,56005,2025-09-24,,1,20250924
43,43,Deborah,Harris,jasminlong@yahoo.com,690-336-9310x571,M,19880501,20240822,43,1263 Brooks Gateway Apt. 143,Perrymouth,Rhode Island,United Kingdom,60665,2025-09-24,,1,20250924
44,44,Gina,Taylor,olsonann@yahoo.com,(999)938-1919x4874,F,19760301,20230317,44,97196 Amanda Harbors Apt. 633,Simonland,North Carolina,United Kingdom,20359,2025-09-24,,1,20250924
45,45,Donna,Cox,lisa43@gmail.com,(210)651-4947x3965,F,19960413,20231210,45,46059 Keller Light,East Marymouth,Washington,United States,38436,2025-09-24,,1,20250924
46,46,Matthew,Randolph,kayla21@gmail.com,001-860-620-9818x040,M,19940301,20250224,46,0442 Lori Village Suite 005,Lake Morganberg,Massachusetts,Brazil,45159,2025-09-24,,1,20250924
47,47,Heather,Brown,hannah92@yahoo.com,960.424.0817,M,19681223,20250520,47,4756 Ball Coves,West Sabrina,California,UAE,30398,2025-09-24,,1,20250924
48,48,George,Garrett,jacobstracy@gmail.com,+1-790-963-5159x117,F,19721213,20250620,48,76489 Blackwell Junction,West Andreachester,Alabama,India,5514,2025-09-24,,1,20250924
49,49,Hayley,Harris,morrisjohn@gmail.com,256.964.7413,F,19651005,20230102,49,039 Blake Turnpike Suite 758,New Brianfurt,New Mexico,UAE,81434,2025-09-24,,1,20250924
50,50,Victoria,Christensen,ncrawford@yahoo.com,(351)452-2823x25348,F,19940814,20240127,50,85140 Ashley Green,South Davidville,Oklahoma,Canada,80529,2025-09-24,,1,20250924
-1,-1,Unknown,Customer,unknown@email,N/A,U,-1,-1,-1,Unknown,Unknown,Unknown,Unknown,-1,1900-01-01,9999-12-31,0,-1
51,51,Linda,Russell,sarahlandry@hotmail.com,540-244-7830,M,19800703,20240216,51,0686 Kelli Shoal Apt. 776,Hansonland,Wisconsin,Canada,59287,2025-09-27,,1,20250927
52,52,Marilyn,Duncan,tmendoza@yahoo.com,+1-269-863-0133x3279,F,20020609,20250203,52,0313 Stevenson Course,North Eddieshire,Louisiana,Brazil,32515,2025-09-27,,1,20250927
53,53,Tiffany,Wade,theresa26@gmail.com,(822)879-5614x10966,M,19540620,20250726,53,635 Drake Way Suite 457,South Haleyhaven,New Jersey,United Kingdom,29064,2025-09-27,,1,20250927
54,54,Jesse,George,danielle51@hotmail.com,(920)722-3033,M,19750101,20250122,54,0407 Laura Corner,Jordanbury,Hawaii,United States,2385,2025-09-27,,1,20250927
55,55,Michael,Bernard,johnsmith@hotmail.com,229-665-1444x8657,F,19680218,20230720,55,20384 Long Spurs Apt. 266,East Rogerberg,Alaska,India,18999,2025-09-27,,1,20250927
56,56,Megan,Richard,fischercharles@hotmail.com,001-633-050-7495,F,19530420,20231128,56,09381 Jessica Green Apt. 462,Jamesland,Colorado,Canada,87668,2025-09-27,,1,20250927
57,57,Leslie,Hudson,stonealicia@yahoo.com,+1-632-381-3705x7410,M,19660328,20240924,57,831 Cynthia Valleys Apt. 039,Johnshire,Maryland,Brazil,9527,2025-09-27,,1,20250927
58,58,Bryan,Nguyen,linda13@gmail.com,+1-010-291-5851x185,M,19850624,20230120,58,637 Brady Port Suite 105,Richardberg,California,Saudi Arabia,70080,2025-09-27,,1,20250927
59,59,Corey,Reese,zmontoya@gmail.com,168.927.8884x787,F,19551022,20250110,59,56366 Nelson Extensions Suite 679,Langhaven,Georgia,Saudi Arabia,2385,2025-09-27,,1,20250927
60,60,Steven,Burgess,crystal14@hotmail.com,4446978942,M,20031126,20240206,60,91827 Douglas Greens,New Benjaminshire,New York,United Kingdom,75541,2025-09-27,,1,20250927
61,61,Tara,Garza,ajones@yahoo.com,668-464-8209,M,19850330,20241014,61,0742 Flynn Inlet,Lesterborough,Florida,UAE,59341,2025-09-27,,1,20250927
62,62,Kimberly,Andrews,kimberlyortiz@gmail.com,(209)160-4941x7231,F,19920305,20221030,62,54873 Walker Lake,Stephenmouth,Maine,Brazil,13321,2025-09-27,,1,20250927
63,63,Jeffrey,Garcia,beckerleslie@yahoo.com,157.111.2070x180,M,19961102,20240222,63,0517 Jarvis Groves,East Meagan,North Dakota,United Kingdom,46436,2025-09-27,,1,20250927
64,64,Robert,Brock,amanda86@gmail.com,(830)434-2299x78532,M,20051205,20230327,64,015 Ruben Prairie,West Mark,Arkansas,France,7697,2025-09-27,,1,20250927
65,65,Alexis,Smith,bishopcheryl@gmail.com,990.463.6919x918,F,20011008,20230712,65,158 Diana Harbor,Port David,Maine,Brazil,65683,2025-09-27,,1,20250927
66,66,Jennifer,Blankenship,ibuckley@hotmail.com,+1-412-452-7705x08755,M,19520629,20240129,66,19138 Bentley Key Apt. 279,Port Annette,South Dakota,Saudi Arabia,37049,2025-09-27,,1,20250927
67,67,Tiffany,Melton,jason28@hotmail.com,404-624-7863,M,20031102,20240324,67,25007 David Via Suite 752,North Robertville,Wisconsin,United States,50259,2025-09-27,,1,20250927
68,68,John,Perez,tstevens@hotmail.com,7909919984,F,19760916,20240808,68,181 Rachel Valley,Clayberg,Washington,Saudi Arabia,99530,2025-09-27,,1,20250927
69,69,Paul,Lewis,cfrazier@yahoo.com,275.622.0217x589,M,19611117,20250204,69,865 Ana Dam,Thomasburgh,Mississippi,Egypt,62637,2025-09-27,,1,20250927
70,70,Autumn,Perez,james24@gmail.com,842-689-8807x7574,M,19790617,20240304,70,94048 Griffith Stream,Pricehaven,Maryland,Brazil,62350,2025-09-27,,1,20250927
71,71,Edwin,Miller,oallen@gmail.com,877-747-6397x1031,M,19850510,20241228,71,6003 Christian Row Apt. 928,Fergusonmouth,Idaho,China,8834,2025-09-27,,1,20250927
72,72,Travis,Schmitt,irivera@hotmail.com,153-121-4138x29879,M,19521124,20241219,72,4776 Lee Way,South Dawn,Arkansas,Australia,8773,2025-09-27,,1,20250927
73,73,Dawn,Massey,eric95@hotmail.com,+1-735-168-3202,F,19600714,20240904,73,10675 Neal Walk Suite 067,Alvaradochester,Michigan,Canada,45876,2025-09-27,,1,20250927
74,74,Angela,Ramirez,piercemadeline@gmail.com,(949)835-9808x4698,F,20050111,20241027,74,0655 Monique Light Apt. 287,Lake Donna,Arizona,Australia,45980,2025-09-27,,1,20250927
75,75,Peter,Simmons,graysarah@gmail.com,783-062-6465x8899,M,19870514,20241031,75,17172 Mcmahon Path Suite 216,New Michaelstad,California,UAE,47429,2025-09-27,,1,20250927
76,76,Wayne,Miller,chapmanchristopher@gmail.com,(021)512-8513,F,19751016,20241115,76,01190 Victoria Cliff,North Kathy,Iowa,Saudi Arabia,33691,2025-09-27,,1,20250927
77,77,Christopher,Hall,pjohnson@yahoo.com,843.267.4846x431,F,20020718,20221221,77,40137 Williams Locks,Alexisfort,Utah,Brazil,41095,2025-09-27,,1,20250927
78,78,David,Espinoza,hernandezstephanie@yahoo.com,983.923.0781x41257,M,19510213,20250711,78,6928 Robert Springs Apt. 074,West Amy,Oregon,India,4032,2025-09-27,,1,20250927
79,79,Michael,Cross,lindsey68@yahoo.com,024-264-5963,M,19880816,20231124,79,01342 Leslie Village,Michaelmouth,Connecticut,United Kingdom,40835,2025-09-27,,1,20250927
80,80,Rhonda,Mcbride,holsen@hotmail.com,366.497.0695x9901,M,19880113,20240605,80,70046 Adams Streets Suite 539,Lake Timothy,Maryland,Germany,34908,2025-09-27,,1,20250927
81,81,Kevin,Kramer,riceallison@yahoo.com,(171)014-7824x7599,F,19981009,20230217,81,210 Terri Terrace Suite 102,North Stephanie,Alabama,United Kingdom,64141,2025-09-27,,1,20250927
82,82,Noah,Robertson,fitzpatrickheather@yahoo.com,169-456-4686x676,M,20020430,20250530,82,411 John Views Apt. 376,Robertsside,Virginia,India,93817,2025-09-27,,1,20250927
83,83,Elizabeth,Smith,jeffreysimmons@gmail.com,001-233-450-1541x7765,F,19810218,20241231,83,17037 Benjamin Forge Apt. 957,Rodriguezland,Wyoming,India,57727,2025-09-27,,1,20250927
84,84,Amber,Smith,mitchelldavid@hotmail.com,+1-631-555-8008x75757,F,19720123,20230216,84,79092 Christina Hollow,Christianmouth,Mississippi,France,91017,2025-09-27,,1,20250927
85,85,Katherine,Ortega,sanchezmichael@hotmail.com,842-932-6457,M,19521031,20221227,85,8293 Mclaughlin Turnpike,Wuland,Michigan,UAE,67446,2025-09-27,,1,20250927
86,86,Katelyn,Johnson,hamiltonandrew@gmail.com,(960)956-6118x28921,M,19971005,20221013,86,920 Morrison Park Apt. 742,Annmouth,Arkansas,Canada,21517,2025-09-27,,1,20250927
87,87,Rhonda,Johnson,urobinson@hotmail.com,001-642-206-9925,M,20020512,20240302,87,286 Harmon Center,Bishophaven,Tennessee,Australia,85274,2025-09-27,,1,20250927
88,88,Michelle,Waters,khardy@yahoo.com,834.079.3281x816,M,19941007,20240921,88,0404 Katherine Pike Apt. 294,North Samuelside,Hawaii,France,2114,2025-09-27,,1,20250927
89,89,Amanda,Brown,jenniferhill@hotmail.com,4011392158,F,19990224,20230115,89,9342 Lutz Path,Evanston,Arkansas,India,19264,2025-09-27,,1,20250927
90,90,Matthew,Page,sharmon@gmail.com,(908)338-2656,F,19571217,20250212,90,482 Chad Court Apt. 469,Hendersonside,Arizona,France,77665,2025-09-27,,1,20250927
91,91,Jennifer,Vega,mary77@hotmail.com,+1-776-738-0075x068,F,19581007,20230711,91,8546 Alvin Expressway Suite 493,Port Davidchester,Illinois,Germany,13240,2025-09-27,,1,20250927
92,92,Patricia,Vazquez,aaroncook@yahoo.com,+1-928-802-2955,F,20020806,20241031,92,1200 Brooks Landing,Christianmouth,Virginia,Canada,99863,2025-09-27,,1,20250927
93,93,Melinda,Gonzales,ismith@yahoo.com,001-671-172-4985x9634,M,19630616,20240703,93,07085 Anthony Neck Suite 390,Richardbury,Vermont,Brazil,20078,2025-09-27,,1,20250927
94,94,Timothy,Welch,rrodriguez@yahoo.com,+1-992-071-8980x221,F,19660313,20230225,94,340 Perry Spring,Alexanderview,Alaska,UAE,46155,2025-09-27,,1,20250927
95,95,Sean,Walters,rickey55@yahoo.com,233-559-1649,M,19550821,20240311,95,959 Miller Ramp Apt. 789,Rachaelfurt,Maryland,Germany,29697,2025-09-27,,1,20250927
96,96,Crystal,Jenkins,zaustin@hotmail.com,+1-778-134-1452x44864,M,20020302,20250311,96,900 Robin Manor Suite 717,South Ashleyview,Colorado,Egypt,32190,2025-09-27,,1,20250927
97,97,Mary,Gonzalez,tiffany38@yahoo.com,098.192.0509x1633,M,19880405,20250801,97,1394 Owens Mountain,North David,New York,United States,69442,2025-09-27,,1,20250927
98,98,Yesenia,Anderson,huntrhonda@hotmail.com,(451)679-1776,M,19580112,20250810,98,6955 Kyle Drive,Thompsonchester,Iowa,United Kingdom,32981,2025-09-27,,1,20250927
99,99,Travis,Camacho,wisejennifer@hotmail.com,001-414-771-6828,M,19950116,20250420,99,38181 Maynard Key Apt. 403,East Danny,Texas,China,71607,2025-09-27,,1,20250927
100,100,Joshua,Hess,shawnharrell@hotmail.com,(812)541-4528x7847,F,19730501,20250422,100,544 Bell Divide Suite 509,North Rhondaton,Florida,France,72625,2025-09-27,,1,20250927
101,101,Emily,Nelson,joshuabrooks@hotmail.com,(508)977-5472x815,M,19950322,20240815,101,1089 Julie Wells Apt. 487,Buchananchester,Texas,France,75205,2025-09-27,,1,20250927
102,102,Jessica,Thompson,adamwalton@hotmail.com,001-080-820-7809x8822,F,19520227,20250305,102,149 Daniel Union,Bridgesstad,South Carolina,India,8963,2025-09-27,,1,20250927
103,103,Rebecca,Hill,meganmonroe@hotmail.com,001-883-594-3260,F,19650701,20230619,103,3481 Hodges Drives Apt. 697,South Martha,Alaska,United States,80406,2025-09-27,,1,20250927
104,104,Andrew,Hall,debbiedixon@yahoo.com,9997494117,M,19570311,20240417,104,151 James Ville,West Terry,Alabama,Egypt,93662,2025-09-27,,1,20250927
105,105,Calvin,Cooper,lisadennis@hotmail.com,001-599-571-9477x00719,M,20041224,20230123,105,066 Hannah Valley,Lake Williamville,North Dakota,Brazil,4948,2025-09-27,,1,20250927
106,106,Lori,Wilson,michelemurillo@gmail.com,001-889-594-9192x659,M,19720723,20230317,106,7169 Carroll Trace,East Lindsey,Tennessee,Brazil,59639,2025-09-27,,1,20250927
107,107,Joshua,Ramirez,mary32@yahoo.com,001-495-189-8197x85517,F,19900530,20230310,107,7558 Denise Station Suite 125,Jameschester,Massachusetts,UAE,21631,2025-09-27,,1,20250927
108,108,Stephanie,Nelson,jacobmata@gmail.com,(792)664-0307x5059,M,20050602,20250224,108,83527 Rhonda Island,Brianmouth,Maryland,Australia,22362,2025-09-27,,1,20250927
109,109,Jillian,Brown,foxmindy@hotmail.com,(549)347-8126x8881,M,19500314,20240913,109,295 Thomas Viaduct,West Samanthabury,Washington,United States,51713,2025-09-27,,1,20250927
110,110,Julie,Fuller,gardnershannon@hotmail.com,246-760-0425x9765,M,19830711,20230206,110,67001 Anthony Cove Suite 269,New Shannonborough,New Mexico,UAE,9082,2025-09-27,,1,20250927
111,111,Jeremiah,Beck,duane16@yahoo.com,+1-973-907-6667,M,19731222,20250909,111,2086 Benjamin Valley Apt. 062,South Lisa,South Carolina,Germany,69200,2025-09-27,,1,20250927
112,112,Sarah,Garcia,baxterashley@gmail.com,662-393-5260,F,19550626,20240901,112,8711 Rollins Shores Apt. 150,Kimberlychester,Alaska,United Kingdom,38248,2025-09-27,,1,20250927
113,113,Ryan,Harris,truiz@gmail.com,185.331.1564x835,F,20070724,20240621,113,4414 Kelley Center Apt. 481,Brendaburgh,Illinois,Brazil,38536,2025-09-27,,1,20250927
114,114,Michael,Frank,eugenehamilton@hotmail.com,070.182.1557x41251,F,19611106,20230224,114,833 Duarte Stream,Coxfort,Arizona,United States,47520,2025-09-27,,1,20250927
115,115,Michelle,Watkins,hholt@hotmail.com,659-230-0224x22371,M,19770203,20240506,115,274 Jodi Village,Sarahfurt,Illinois,Canada,79848,2025-09-27,,1,20250927
116,116,Sarah,Benson,bcain@hotmail.com,(011)731-0109,M,19570707,20221102,116,9577 Walker Park Apt. 852,West Patricia,Nebraska,Saudi Arabia,63640,2025-09-27,,1,20250927
117,117,Amber,Richards,jacksonkristina@gmail.com,888-076-9657x765,M,19701206,20230813,117,23333 James Corner,Velezport,New Hampshire,Egypt,92397,2025-09-27,,1,20250927
118,118,Cynthia,Jones,joshua48@yahoo.com,(694)451-4215x729,F,20000406,20250314,118,715 Burns Light,Baxterborough,Tennessee,United Kingdom,11067,2025-09-27,,1,20250927
119,119,Rachel,Miller,marysmith@yahoo.com,730.978.0399x346,F,19871008,20240521,119,484 Crystal Prairie Apt. 710,New Timothyview,Washington,Canada,71794,2025-09-27,,1,20250927
120,120,Ruth,Miller,alexander39@hotmail.com,+1-550-506-8151,M,19960419,20230128,120,1104 Sharon Lights,North Sarahberg,Georgia,Germany,27937,2025-09-27,,1,20250927
121,121,William,Russell,brittany75@gmail.com,1446338455,F,19690110,20240216,121,6947 Barrett Ferry,Joelstad,Arkansas,India,96175,2025-09-27,,1,20250927
122,122,Valerie,Marsh,jenniferlivingston@gmail.com,669.706.8382x8266,M,19800321,20231209,122,5439 Waters Stream,Carolbury,Idaho,Egypt,77963,2025-09-27,,1,20250927
123,123,Garrett,Phelps,ojordan@yahoo.com,(756)440-3148x22119,F,19990311,20231025,123,2276 Cunningham Greens,West Tiffanytown,California,United States,23139,2025-09-27,,1,20250927
124,124,Hannah,Flores,gomezalexandra@gmail.com,(072)288-4993x9288,M,19990611,20240608,124,32757 Marquez Mountain Apt. 741,Smithland,Florida,Canada,84124,2025-09-27,,1,20250927
125,125,Mackenzie,Peterson,flittle@yahoo.com,(005)029-4079,M,19910623,20230903,125,346 Scott Hills Apt. 919,Coreyhaven,South Dakota,China,74272,2025-09-27,,1,20250927
126,126,Deborah,Wood,kfreeman@yahoo.com,569-922-9137,M,19920915,20250308,126,0814 Clements Field Suite 361,Rileyhaven,Arizona,Australia,96214,2025-09-27,,1,20250927
127,127,Eric,Woods,hamiltonjohn@yahoo.com,(678)563-7164x36111,F,19770403,20241128,127,022 Sharon Corner,Port Crystal,New Jersey,United States,91285,2025-09-27,,1,20250927
128,128,Johnny,Jordan,nelsonbrian@gmail.com,(017)474-8157,F,19880528,20240724,128,548 Tony Crest Suite 807,Port Joshua,Mississippi,United Kingdom,8909,2025-09-27,,1,20250927
129,129,Amy,Stevenson,erika02@yahoo.com,546-669-2072,F,19880811,20240829,129,82390 Alexander Lake Suite 148,Bradport,Louisiana,Australia,88062,2025-09-27,,1,20250927
130,130,Kelly,Kim,pedro98@gmail.com,+1-440-278-3626,M,19870414,20231118,130,5933 Nancy Trafficway,Cynthiachester,Wyoming,United Kingdom,77236,2025-09-27,,1,20250927
131,131,Joy,Miller,fishertimothy@hotmail.com,+1-465-530-9222x2128,M,19861221,20230223,131,5000 Kimberly Views,Austinstad,New Mexico,Egypt,46077,2025-09-27,,1,20250927
132,132,Susan,Love,davidshaw@hotmail.com,(619)997-1081x86321,M,19660112,20250611,132,835 Pierce Park,East Carlafort,Michigan,France,6013,2025-09-27,,1,20250927
133,133,Michael,White,ngonzalez@yahoo.com,508.374.3200x60830,F,19930312,20240822,133,2595 Rios Lake,Beckyport,Massachusetts,United States,37181,2025-09-27,,1,20250927
134,134,Jack,Romero,erika76@gmail.com,(781)207-9624,F,19860709,20221110,134,078 Hernandez Square Apt. 569,Copelandville,Iowa,United States,689,2025-09-27,,1,20250927
135,135,Erin,Wilson,williamsrobert@hotmail.com,499-890-7167x7880,M,19650914,20221014,135,52275 Daniel Curve Suite 480,Matthewville,Kentucky,China,76807,2025-09-27,,1,20250927
136,136,Megan,Smith,danielhuynh@hotmail.com,001-048-881-9875x997,F,19650329,20230418,136,14079 Nicole Light,Brianside,New Jersey,India,5755,2025-09-27,,1,20250927
137,137,Briana,Boyd,gentrykaren@hotmail.com,076.986.4449x1185,F,19550412,20221120,137,2750 Carpenter Vista Apt. 352,West Carrie,Montana,India,11635,2025-09-27,,1,20250927
138,138,Stacy,Perez,dannycooper@gmail.com,001-231-143-4166x38267,F,19790804,20240405,138,242 Andrew Way Suite 145,East Scott,New Jersey,Australia,47870,2025-09-27,,1,20250927
139,139,Katrina,Hill,annettehines@yahoo.com,605.390.8110,M,19510419,20221104,139,10214 Cooper Underpass,East Michael,Georgia,India,44672,2025-09-27,,1,20250927
140,140,Mrs.,Decker,colleenhernandez@yahoo.com,+1-454-544-7278x7924,M,19681211,20240727,140,3702 Christopher Heights Suite 742,Lake Diana,Nebraska,France,71526,2025-09-27,,1,20250927
141,141,Timothy,Grant,stephensapril@yahoo.com,9128121263,F,19710320,20250125,141,83540 Brianna Shores Apt. 382,Port Christopherton,Montana,Egypt,98521,2025-09-27,,1,20250927
142,142,Jasmine,Jackson,jacobhart@gmail.com,(812)479-6667,F,19840815,20230802,142,119 Ann Stravenue Suite 306,East Michaelfort,Oregon,UAE,39809,2025-09-27,,1,20250927
143,143,Leon,Hutchinson,ybell@hotmail.com,940-568-4593,F,19961207,20231012,143,1837 Kevin Cove,Zacharyshire,Massachusetts,India,20703,2025-09-27,,1,20250927
144,144,Michelle,Villegas,wrightalexander@hotmail.com,+1-254-677-2396,F,19791008,20250718,144,21133 Kathleen Mills Suite 652,South Johnathan,Kentucky,Australia,45597,2025-09-27,,1,20250927
145,145,Bobby,Harris,john29@gmail.com,(650)584-8414x922,F,19860420,20230829,145,330 Dana Stravenue,Marthabury,Washington,Canada,73956,2025-09-27,,1,20250927
146,146,Leslie,Cantrell,christophermartin@gmail.com,+1-456-314-7961,M,20011112,20230621,146,6097 Miller Ways Suite 870,Port Rhonda,Iowa,United Kingdom,18155,2025-09-27,,1,20250927
